arm,checkpoint,eval_set,steps_to_think,success,zero_boxes,noops_per_eps
dense_mean_200m,cp_199997440,valid_medium,10,0.167,0.027,0.0
dense_mean_200m,cp_199997440,valid_medium,11,0.164,0.029,0.0
dense_mean_200m,cp_199997440,valid_medium,12,0.168,0.028,0.0
dense_sum_200m,cp_199997440,train_unfiltered,0,0.019,0.244,0.0
dense_sum_200m,cp_199997440,train_unfiltered,1,0.018,0.247,0.0
dense_sum_200m,cp_199997440,train_unfiltered,2,0.018,0.247,0.0
dense_sum_200m,cp_199997440,train_unfiltered,3,0.018,0.247,0.0
dense_sum_200m,cp_199997440,train_unfiltered,4,0.018,0.247,0.0
dense_sum_200m,cp_199997440,train_unfiltered,5,0.018,0.247,0.0
dense_sum_200m,cp_199997440,train_unfiltered,6,0.018,0.247,0.0
dense_sum_200m,cp_199997440,train_unfiltered,7,0.018,0.247,0.0
dense_sum_200m,cp_199997440,train_unfiltered,8,0.018,0.247,0.0
dense_sum_200m,cp_199997440,train_unfiltered,9,0.018,0.247,0.0
dense_sum_200m,cp_199997440,train_unfiltered,10,0.018,0.247,0.0
dense_sum_200m,cp_199997440,train_unfiltered,11,0.018,0.247,0.0
dense_sum_200m,cp_199997440,train_unfiltered,12,0.018,0.247,0.0
dense_sum_200m,cp_199997440,valid_medium,0,0.0,0.296,0.0
dense_sum_200m,cp_199997440,valid_medium,1,0.0,0.305,0.0
dense_sum_200m,cp_199997440,valid_medium,2,0.0,0.305,0.0
dense_sum_200m,cp_199997440,valid_medium,3,0.0,0.305,0.0
dense_sum_200m,cp_199997440,valid_medium,4,0.0,0.305,0.0
dense_sum_200m,cp_199997440,valid_medium,5,0.0,0.305,0.0
dense_sum_200m,cp_199997440,valid_medium,6,0.0,0.305,0.0
dense_sum_200m,cp_199997440,valid_medium,7,0.0,0.305,0.0
dense_sum_200m,cp_199997440,valid_medium,8,0.0,0.305,0.0
dense_sum_200m,cp_199997440,valid_medium,9,0.0,0.305,0.0
dense_sum_200m,cp_199997440,valid_medium,10,0.0,0.305,0.0
dense_sum_200m,cp_199997440,valid_medium,11,0.0,0.305,0.0
dense_sum_200m,cp_199997440,valid_medium,12,0.0,0.305,0.0
local_max_200m,cp_119992320,train_unfiltered,0,0.773,0.002,0.0
local_max_200m,cp_119992320,train_unfiltered,1,0.776,0.002,0.0
local_max_200m,cp_119992320,train_unfiltered,2,0.774,0.003,0.0
local_max_200m,cp_119992320,train_unfiltered,3,0.784,0.003,0.0
local_max_200m,cp_119992320,train_unfiltered,4,0.781,0.005,0.0
local_max_200m,cp_119992320,train_unfiltered,5,0.783,0.005,0.0
local_max_200m,cp_119992320,train_unfiltered,6,0.778,0.004,0.0
local_max_200m,cp_119992320,train_unfiltered,7,0.784,0.004,0.0
local_max_200m,cp_119992320,train_unfiltered,8,0.786,0.003,0.0
local_max_200m,cp_119992320,train_unfiltered,9,0.783,0.004,0.0
local_max_200m,cp_119992320,train_unfiltered,10,0.786,0.003,0.0
local_max_200m,cp_119992320,train_unfiltered,11,0.787,0.004,0.0
local_max_200m,cp_119992320,train_unfiltered,12,0.786,0.003,0.0
local_max_200m,cp_119992320,valid_medium,0,0.13,0.03,0.0
local_max_200m,cp_119992320,valid_medium,1,0.14,0.032,0.0
local_max_200m,cp_119992320,valid_medium,2,0.134,0.029,0.0
local_max_200m,cp_119992320,valid_medium,3,0.131,0.034,0.0
local_max_200m,cp_119992320,valid_medium,4,0.136,0.031,0.0
local_max_200m,cp_119992320,valid_medium,5,0.136,0.033,0.0
local_max_200m,cp_119992320,valid_medium,6,0.137,0.036,0.0
local_max_200m,cp_119992320,valid_medium,7,0.137,0.032,0.0
local_max_200m,cp_119992320,valid_medium,8,0.136,0.035,0.0
local_max_200m,cp_119992320,valid_medium,9,0.136,0.034,0.0
local_max_200m,cp_119992320,valid_medium,10,0.134,0.035,0.0
local_max_200m,cp_119992320,valid_medium,11,0.136,0.032,0.0
local_max_200m,cp_119992320,valid_medium,12,0.133,0.033,0.0
local_mean_200m,cp_199997440,train_unfiltered,0,0.824,0.014,0.0
local_mean_200m,cp_199997440,train_unfiltered,1,0.824,0.016,0.0
local_mean_200m,cp_199997440,train_unfiltered,2,0.827,0.014,0.0
local_mean_200m,cp_199997440,train_unfiltered,3,0.824,0.008,0.0
local_mean_200m,cp_199997440,train_unfiltered,4,0.824,0.013,0.0
local_mean_200m,cp_199997440,train_unfiltered,5,0.826,0.011,0.0
local_mean_200m,cp_199997440,train_unfiltered,6,0.824,0.012,0.0
local_mean_200m,cp_199997440,train_unfiltered,7,0.825,0.012,0.0
local_mean_200m,cp_199997440,train_unfiltered,8,0.826,0.014,0.0
local_mean_200m,cp_199997440,train_unfiltered,9,0.825,0.012,0.0
local_mean_200m,cp_199997440,train_unfiltered,10,0.828,0.014,0.0
local_mean_200m,cp_199997440,train_unfiltered,11,0.821,0.011,0.0
local_mean_200m,cp_199997440,train_unfiltered,12,0.822,0.012,0.0
local_mean_200m,cp_199997440,valid_medium,0,0.163,0.071,0.0
local_mean_200m,cp_199997440,valid_medium,1,0.159,0.066,0.0
local_mean_200m,cp_199997440,valid_medium,2,0.17,0.062,0.0
local_mean_200m,cp_199997440,valid_medium,3,0.163,0.063,0.0
local_mean_200m,cp_199997440,valid_medium,4,0.165,0.068,0.0
local_mean_200m,cp_199997440,valid_medium,5,0.167,0.072,0.0
local_mean_200m,cp_199997440,valid_medium,6,0.166,0.07,0.0
local_mean_200m,cp_199997440,valid_medium,7,0.169,0.069,0.0
local_mean_200m,cp_199997440,valid_medium,8,0.169,0.063,0.0
local_mean_200m,cp_199997440,valid_medium,9,0.171,0.067,0.0
local_mean_200m,cp_199997440,valid_medium,10,0.177,0.068,0.0
local_mean_200m,cp_199997440,valid_medium,11,0.17,0.066,0.0
local_mean_200m,cp_199997440,valid_medium,12,0.167,0.072,0.0
local_sum_200m,cp_199997440,train_unfiltered,0,0.819,0.007,0.0
local_sum_200m,cp_199997440,train_unfiltered,1,0.823,0.007,0.0
local_sum_200m,cp_199997440,train_unfiltered,2,0.819,0.006,0.0
local_sum_200m,cp_199997440,train_unfiltered,3,0.818,0.008,0.0
local_sum_200m,cp_199997440,train_unfiltered,4,0.817,0.009,0.0
local_sum_200m,cp_199997440,train_unfiltered,5,0.814,0.009,0.0
local_sum_200m,cp_199997440,train_unfiltered,6,0.81,0.009,0.0
local_sum_200m,cp_199997440,train_unfiltered,7,0.812,0.01,0.0
local_sum_200m,cp_199997440,train_unfiltered,8,0.816,0.01,0.0
local_sum_200m,cp_199997440,train_unfiltered,9,0.818,0.009,0.0
local_sum_200m,cp_199997440,train_unfiltered,10,0.817,0.009,0.0
local_sum_200m,cp_199997440,train_unfiltered,11,0.816,0.009,0.0
local_sum_200m,cp_199997440,train_unfiltered,12,0.817,0.008,0.0
local_sum_200m,cp_199997440,valid_medium,0,0.151,0.042,0.0
local_sum_200m,cp_199997440,valid_medium,1,0.156,0.046,0.0
local_sum_200m,cp_199997440,valid_medium,2,0.163,0.045,0.0
local_sum_200m,cp_199997440,valid_medium,3,0.166,0.045,0.0
local_sum_200m,cp_199997440,valid_medium,4,0.166,0.048,0.0
local_sum_200m,cp_199997440,valid_medium,5,0.168,0.047,0.0
local_sum_200m,cp_199997440,valid_medium,6,0.165,0.048,0.0
local_sum_200m,cp_199997440,valid_medium,7,0.162,0.051,0.0
local_sum_200m,cp_199997440,valid_medium,8,0.169,0.049,0.0
local_sum_200m,cp_199997440,valid_medium,9,0.167,0.047,0.0
local_sum_200m,cp_199997440,valid_medium,10,0.169,0.048,0.0
local_sum_200m,cp_199997440,valid_medium,11,0.17,0.047,0.0
local_sum_200m,cp_199997440,valid_medium,12,0.172,0.046,0.0
