global_step,avg_episode_returns,avg_episode_length,SPS
25651200,-5.49,74.06,5684.55
25702400,-5.93,75.99,5684.72
25753600,-5.39,71.68,5684.88
25804800,-5.42,74.29,5685.06
25856000,-5.89,76.71,5685.23
25907200,-5.86,76.75,5685.41
25958400,-5.62,75.76,5686.00
26009600,-5.75,76.97,5685.75
26060800,-5.46,74.13,5685.93
26112000,-5.21,71.61,5686.10
26163200,-5.63,75.71,5686.27
26214400,-5.42,73.66,5686.44
26265600,-5.64,74.74,5687.02
26316800,-5.65,74.61,5686.78
26368000,-5.78,76.26,5686.95
26419200,-5.36,75.26,5687.12
26470400,-5.17,73.30,5687.28
26521600,-5.10,71.47,5687.45
26572800,-5.66,75.84,5687.62
26624000,-5.27,73.09,5687.78
26675200,-5.37,73.75,5687.94
26726400,-5.47,74.35,5688.10
26777600,-5.57,74.27,5688.26
26828800,-5.19,72.57,5688.42
26880000,-5.40,73.35,5688.59
26931200,-5.31,75.20,5688.75
26982400,-5.29,74.90,5688.91
27033600,-5.52,75.43,5689.06
27084800,-5.27,74.02,5689.63
27136000,-5.69,74.67,5689.38
27187200,-5.34,73.05,5689.50
27238400,-5.03,72.34,5689.66
27289600,-5.21,72.18,5689.81
27340800,-5.37,73.65,5689.97
27392000,-4.85,70.44,5690.12
27443200,-5.21,72.74,5690.27
27494400,-5.17,71.91,5690.38
27545600,-5.10,72.41,5690.55
27596800,-5.48,74.28,5690.70
27648000,-5.04,72.06,5690.85
27699200,-5.41,75.05,5690.99
27750400,-5.09,71.34,5691.15
27801600,-5.30,74.93,5691.25
27852800,-5.11,71.80,5691.41
27904000,-5.30,74.65,5691.57
27955200,-5.33,73.62,5691.72
28006400,-5.36,73.14,5691.87
28057600,-5.28,75.28,5692.41
28108800,-5.11,73.02,5692.11
28160000,-5.21,74.41,5692.27
28211200,-5.01,72.64,5692.80
28262400,-4.52,69.61,5692.56
28313600,-4.78,72.79,5692.71
28364800,-5.72,76.30,5692.86
28416000,-5.50,75.35,5692.97
28467200,-5.38,74.65,5693.13
28518400,-5.42,74.09,5693.29
28569600,-5.22,72.75,5693.44
28620800,-5.41,74.55,5693.60
28672000,-5.46,75.08,5693.75
28723200,-5.14,75.67,5693.90
28774400,-5.22,73.53,5694.05
28825600,-5.12,72.91,5694.20
28876800,-5.25,73.82,5694.35
28928000,-4.98,73.24,5694.49
28979200,-5.02,73.72,5694.64
29030400,-5.21,73.41,5694.78
29081600,-5.03,69.82,5694.91
29132800,-5.01,72.86,5695.06
29184000,-5.12,75.13,5695.20
29235200,-5.23,73.99,5695.34
29286400,-4.62,70.53,5695.47
29337600,-5.52,74.31,5695.59
29388800,-5.13,73.88,5695.72
29440000,-5.26,75.13,5695.85
29491200,-4.90,72.83,5695.98
29542400,-4.85,72.29,5696.48
29593600,-4.76,71.42,5696.18
29644800,-4.87,73.87,5696.36
29696000,-4.98,72.82,5696.49
29747200,-5.14,72.16,5696.62
29798400,-4.85,74.13,5696.75
29849600,-4.97,73.11,5696.89
29900800,-4.77,71.08,5696.98
29952000,-5.12,75.42,5697.16
30003200,-5.10,71.37,5697.29
30054400,-4.84,74.07,5697.42
30105600,-5.04,74.25,5697.55
30156800,-5.49,76.26,5697.68
30208000,-4.81,72.24,5697.81
30259200,-4.92,73.65,5697.93
30310400,-4.85,72.09,5698.06
30361600,-4.84,73.06,5698.18
30412800,-5.00,75.10,5698.31
30464000,-5.08,71.62,5698.43
30515200,-4.90,72.35,5698.52
30566400,-5.22,74.54,5698.64
30617600,-5.15,72.45,5699.11
30668800,-5.29,73.96,5698.87
30720000,-4.99,71.28,5699.00
30771200,-5.03,72.37,5699.11
30822400,-4.94,74.47,5699.19
30873600,-5.16,74.45,5699.30
30924800,-4.75,72.56,5699.42
30976000,-4.52,69.99,5699.53
31027200,-4.58,71.33,5699.65
31078400,-4.85,72.56,5699.77
31129600,-5.22,74.57,5699.84
31180800,-4.99,73.95,5699.96
31232000,-4.62,71.78,5700.08
31283200,-4.95,73.56,5700.21
31334400,-4.48,71.40,5700.33
31385600,-4.71,70.76,5700.45
31436800,-5.02,73.40,5700.53
31488000,-4.95,73.01,5700.65
31539200,-5.10,74.15,5700.77
31590400,-5.41,75.76,5700.89
31641600,-4.93,73.58,5701.01
31692800,-4.55,69.36,5701.14
31744000,-4.60,70.02,5701.23
31795200,-5.25,77.65,5701.35
31846400,-4.88,72.30,5701.46
31897600,-5.16,72.76,5701.57
31948800,-4.56,70.79,5701.67
32000000,-5.14,73.26,5701.79
32051200,-4.46,69.89,5701.89
32102400,-5.05,73.43,5702.34
32153600,-4.68,73.51,5702.11
32204800,-4.50,71.51,5702.22
32256000,-4.39,70.46,5702.33
32307200,-4.69,72.52,5702.45
32358400,-4.97,73.21,5702.55
32409600,-4.89,73.42,5702.67
32460800,-4.88,72.60,5702.79
32512000,-4.84,73.09,5702.90
32563200,-4.62,73.29,5703.01
32614400,-4.70,72.90,5703.12
32665600,-4.90,73.79,5703.23
32716800,-4.94,74.54,5703.34
32768000,-4.39,72.42,5703.45
32819200,-4.61,72.07,5703.55
32870400,-4.65,73.17,5703.99
32921600,-5.14,75.58,5703.77
32972800,-4.75,73.12,5703.89
33024000,-5.16,74.55,5704.33
33075200,-4.28,70.11,5704.12
33126400,-4.93,73.89,5704.56
33177600,-5.15,73.29,5704.34
33228800,-4.93,75.76,5704.46
33280000,-4.74,72.91,5704.55
33331200,-4.93,73.25,5704.66
33382400,-4.59,73.24,5704.77
33433600,-4.39,72.28,5704.87
33484800,-4.87,73.84,5704.98
33536000,-4.78,71.77,5705.43
33587200,-4.29,71.39,5705.54
33638400,-4.55,72.01,5705.32
33689600,-4.72,73.43,5705.42
33740800,-4.74,71.53,5705.52
33792000,-4.79,73.74,5705.61
33843200,-4.48,72.94,5705.67
33894400,-4.28,71.81,5705.77
33945600,-4.44,73.28,5705.87
33996800,-4.21,69.70,5705.97
34048000,-4.74,71.98,5706.07
34099200,-4.96,74.72,5706.16
34150400,-4.74,75.26,5706.23
34201600,-4.89,75.10,5706.34
34252800,-4.01,70.20,5706.44
34304000,-4.23,71.25,5706.54
34355200,-5.08,73.77,5706.64
34406400,-4.49,71.61,5706.74
34457600,-4.72,72.76,5706.81
34508800,-4.55,72.18,5706.90
34560000,-4.38,72.05,5707.31
34611200,-4.08,70.11,5707.41
34662400,-4.48,70.39,5707.18
34713600,-4.60,73.01,5707.28
34764800,-4.60,72.34,5707.35
34816000,-4.34,71.35,5707.44
34867200,-4.36,71.08,5707.53
34918400,-4.52,71.92,5707.62
34969600,-4.53,74.39,5707.72
35020800,-3.79,69.81,5707.81
35072000,-4.78,73.79,5707.87
35123200,-3.74,71.35,5707.97
35174400,-4.49,73.45,5708.07
35225600,-4.38,72.49,5708.16
35276800,-4.33,70.80,5708.25
35328000,-4.25,72.35,5708.34
35379200,-4.40,71.43,5708.43
35430400,-4.75,72.25,5708.53
35481600,-4.43,73.49,5708.62
35532800,-4.61,72.76,5708.71
35584000,-4.30,73.01,5708.80
35635200,-4.14,70.42,5708.89
35686400,-4.52,73.17,5708.98
35737600,-4.57,71.26,5709.07
35788800,-4.53,71.55,5709.17
35840000,-4.27,71.87,5709.27
35891200,-4.44,72.50,5709.36
35942400,-4.49,73.17,5709.45
35993600,-4.54,72.07,5709.54
36044800,-4.52,72.17,5709.64
36096000,-4.67,73.20,5709.74
36147200,-4.28,70.19,5709.83
36198400,-4.10,70.93,5710.23
36249600,-4.03,69.32,5710.02
36300800,-4.57,71.77,5710.11
36352000,-4.37,71.79,5710.19
36403200,-3.90,69.56,5710.28
36454400,-3.98,72.10,5710.37
36505600,-3.97,71.72,5710.46
36556800,-4.59,73.22,5710.51
36608000,-4.12,70.57,5710.64
36659200,-4.30,72.25,5710.72
36710400,-4.01,72.05,5711.12
36761600,-4.26,72.10,5710.91
36812800,-4.31,70.16,5711.02
36864000,-4.29,70.57,5711.41
36915200,-4.21,71.26,5711.20
36966400,-3.89,69.22,5711.29
37017600,-4.65,71.79,5711.37
37068800,-4.52,72.89,5711.45
37120000,-4.46,74.10,5711.53
37171200,-4.64,73.51,5711.56
37222400,-4.12,71.60,5711.63
37273600,-4.23,71.59,5712.01
37324800,-3.53,70.74,5712.09
37376000,-4.06,72.25,5711.88
37427200,-4.20,70.21,5711.97
37478400,-4.39,71.71,5712.03
37529600,-3.97,69.21,5712.12
37580800,-4.71,72.40,5712.20
37632000,-4.30,71.86,5712.29
37683200,-4.58,71.46,5712.37
37734400,-4.34,72.93,5712.46
37785600,-4.33,72.72,5712.51
37836800,-3.78,69.89,5712.60
37888000,-4.33,70.57,5712.68
